rodata_va	n_refs	string	sample_text_pcs
0x71837e30	1	bad ctype	0x71067fb4
0x71837e40	1	bad comp method	0x71068128
0x71837e50	1	bad filter method	0x71068150
0x71837e68	1	bad interlace method	0x71068178
0x71837e80	1	0-pixel image	0x71067fdc
0x71837e90	2	first not IHDR	0x710670c8,0x71067b5c
0x71837ea0	1	invalid PLTE	0x71067f8c
0x71837eb0	1	tRNS after IDAT	0x71068038
0x71837ec0	1	tRNS before PLTE	0x710682fc
0x71837ed8	1	bad tRNS len	0x710680d8
0x71837ee8	1	tRNS with alpha	0x710681a0
0x71837ef8	1	no PLTE	0x710680a4
0x71837f00	1	outofdata	0x71067280
0x71837f10	1	no IDAT	0x71067a78
0x71837f18	2	bad req_comp	0x710687a0,0x710687bc
0x71837f28	1	bad SOS component count	0x71068d04
0x71837f40	1	bad SOS len	0x71068c64
0x71837f50	1	bad DC huff	0x7106970c
0x71837f60	1	bad AC huff	0x710696e8
0x71837f70	1	bad SOS	0x7106944c
0x71837f78	1	bad DNL len	0x71069754
0x71837f88	1	bad DNL height	0x71069224
0x71837f98	1	bad bits_per_channel	0x71069774
0x71837fb0	1	not PSD	0x71068b20
0x71837fb8	1	wrong version	0x710696a8
0x71837fc8	1	wrong channel count	0x71069b24
0x71837fe0	1	unsupported bit depth	0x71069ac8
0x71837ff8	1	wrong color format	0x71069840
0x71838010	2	unknown image type	0x710685c4,0x7106b61c
0x71838028	1	corrupt	0x71069f5c
0x71838058	2	ExitToHomeScreen	0x71013814,0x71413054
0x718380a0	2	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz01234567	0x7101501c,0x7104e258
0x71838390	1	file not found	0x7101524c
0x71838408	1	not initialized	0x710150e4
0x71838418	1	invalid entry name	0x710150f8
0x71838430	1	entry not found	0x7101510c
0x71838440	1	invalid zip mode	0x71015120
0x71838458	1	invalid compression level	0x71015134
0x71838478	1	no zip 64 support	0x71015148
0x71838490	1	memset error	0x7101515c
0x718384a0	1	cannot write data to entry	0x71015170
0x718384c0	1	cannot initialize tdefl compressor	0x71015184
0x718384e8	1	invalid index	0x71015198
0x718384f8	1	header not found	0x710151ac
0x71838510	1	cannot flush tdefl buffer	0x710151c0
0x71838530	1	cannot write entry header	0x710151d4
0x71838550	1	cannot create entry header	0x710151e8
0x71838570	1	cannot write to central dir	0x710151fc
0x71838590	1	cannot open file	0x71015210
0x718385a8	1	invalid entry type	0x71015224
0x718385c0	1	extracting data using no memory allocation	0x71015238
0x718385f0	1	no permission	0x71015260
0x71838600	3	out of memory	0x71015274,0x716fa57c,0x71797e98
0x71838610	1	invalid zip archive name	0x71015288
0x71838630	1	make dir error	0x7101529c
0x71838640	1	symlink error	0x710152b0
0x71838650	1	close archive error	0x710152c4
0x71838668	1	capacity size too small	0x710152d8
0x71838680	1	fseek error	0x710152ec
0x71838690	1	fread error	0x71015300
0x718386a0	1	fwrite error	0x71015314
0x71838730	1	Truncate not implemented	0x710001f8
0x71838750	12	Not supported	0x71000248,0x71000298,0x710002e8,0x71000338,0x71000388
0x71838760	2	Error extracting record	0x71078cec,0x71078f5c
0x71838778	1	Content not existed	0x7107a3f0
0x71838798	1	read failed	0x7107a964
0x718387a8	1	open failed	0x7107a910
0x718387b8	1	write failed	0x7107aaa8
0x718387c8	90	basic_string::substr	0x7107acc0,0x7107c7c0,0x7107cd90,0x7109e878,0x710e33fc
0x718387e0	108	%s: __pos (which is %zu) > this->size() (which is %zu)	0x7107acc8,0x7107c7c8,0x7107cda0,0x7109e880,0x710e3404
0x71838828	1	{} open failed: File does not exist. Creating new...	0x7107ce60
0x71838860	3	anonymous	0x7107da28,0x71330a38,0x716c3dc0
0x71838870	13	vector::reserve	0x71080618,0x7108aad0,0x710e12f0,0x7116e140,0x71181e70
0x71838890	1	ActivityLog	0x710892ec
0x718388a0	1	HideUnknownUsers	0x71089308
0x718388b8	23	vector::_M_range_insert	0x7108a334,0x7108b3e8,0x7108b698,0x7108b948,0x7108bbf8
0x718388d8	16	vector::_M_default_append	0x710822e0,0x7108d038,0x710a417c,0x7113b584,0x711808b8
0x718388f8	1	Invalid version	0x7108daf4
0x71838908	1	vector::_M_fill_insert	0x7108dd78
0x71838920	1	Invalid code point	0x71095cd0
0x71838938	111	map::at	0x71098318,0x71099748,0x71099754,0x7109ac44,0x7109b094
0x71838978	1	htc.stub	0x7101580c
0x71838990	1	settings	0x71015844
0x718389a8	1	bluetooth	0x7101587c
0x718389c8	1	friends	0x710158d0
0x718389e8	1	bsdsockets	0x71015940
0x71838a08	1	LogManager	0x71015994
0x71838a30	1	nvservices	0x71015a04
0x71838a48	1	capmtp	0x71015a3c
0x71838a50	1	nvnflinger	0x71015a58
0x71838a68	1	account	0x71015a90
0x71838a80	1	capsrv	0x71015b00
0x71838b10	1	creport	0x71015d30
0x71838b20	1	profiler	0x71015d68
0x71838b38	1	migration	0x71015da0
0x71838b50	1	jpegdec	0x71015dd8
0x71838b58	1	safemode	0x71015df4
0x71838ba0	1	qlaunch	0x71015ef0
0x71838ba8	1	cabinet	0x71015f28
0x71838bb0	1	controller	0x71015f44
0x71838bc0	1	dataErase	0x71015f60
0x71838bd0	1	netConnect	0x71015f98
0x71838be0	1	playerSelect	0x71015fb4
0x71838bf8	1	miiEdit	0x71015fec
0x71838c00	1	LibAppletWeb	0x71016008
0x71838c10	1	LibAppletShop	0x71016024
0x71838c20	1	overlayDisp	0x71016040
0x71838c30	1	photoViewer	0x7101605c
0x71838c40	1	LibAppletOff	0x71016078
0x71838c50	1	LibAppletLns	0x71016094
0x71838c60	1	LibAppletAuth	0x710160b0
0x71838c70	1	starter	0x710160cc
0x71838c78	1	myPage	0x710160e8
0x71838c80	1	maintenance	0x71016104
0x71838c98	1	dmnt.gen2	0x7101613c
0x71838ca8	1	SaltyNX	0x7101615c
0x71838cb0	1	BootSoundNX	0x71016174
0x71838cc0	1	nx-reader	0x71016198
0x71838cd0	1	sys-clk	0x710161b8
0x71838cd8	1	mtp-server-nx	0x710161d8
0x71838ce8	1	SysDVR	0x710161f8
0x71838cf0	1	sys-tweak	0x7101621c
0x71838d00	1	nfp-mitm	0x71016234
0x71838d10	1	nx-btred	0x71016258
0x71838d20	1	emuiibo	0x71016278
0x71838d28	1	SwitchPresence	0x71016298
0x71838d38	1	aoc-mitm	0x710162b8
0x71838d48	1	OJDS-NX	0x710162d8
0x71838d58	1	fsp-usb	0x71016318
0x71838d60	1	nx_overlay	0x71016338
0x71838d70	1	Fizeau	0x71016358
0x71838d78	1	hid-mitm	0x71016378
0x71838d98	1	MissionControl	0x710163d8
0x71838da8	1	Freebird	0x710163f8
0x71838dc0	1	usb-mitm	0x71016438
0x71838dd0	1	maydel	0x7101645c
0x71838dd8	1	ams.mitm	0x71016480
0x71838de8	1	sys-rgb	0x710164a8
0x71838df0	1	NX-input-recorder	0x710164d0
0x71838e10	1	SplitNX	0x71016518
0x71838e18	1	sys-http	0x71016538
0x71838e28	1	sys-tune	0x71016554
0x71838e38	1	sys-patch	0x7101656c
0x71838e48	1	sys-ftpd	0x71016594
0x71838e58	1	SlideNX	0x710165b4
0x71838e60	1	ldn_mitm	0x710165d4
0x71838e70	1	ftpsrv	0x710165f4
0x71838e78	1	network_mitm	0x71016614
0x71838e88	1	bitmap-printer	0x71016634
0x71838e98	1	BTSounds	0x71016654
0x71838ea8	1	SwiTAS	0x71016674
0x71838eb0	1	sys-triplayer	0x71016694
0x71838ec0	1	sys-scope	0x710166b8
0x71838ed0	1	nx-ovlloader	0x710166dc
0x71838ee0	1	sys-gdbstub	0x71016700
0x71838ef0	1	sys-logger	0x71016724
0x71838f00	1	ControllerSaver	0x7101674c
0x71838f10	1	sys-screenuploader	0x71016774
0x71838f28	1	sys-script	0x7101679c
0x71838f38	1	sfdnsres_mitm	0x710167c0
0x71838f48	1	sys-netcheat	0x710167e0
0x71838f58	1	sys-botbase	0x71016800
0x71838f68	1	sys-botbaseplus	0x71016820
0x71838f80	1	NXGallery	0x71016860
0x71838f90	1	NXCord	0x7101687c
0x71838f98	1	sys-con	0x7101689c
0x71838fa0	1	[Base]	0x7109c8f8
0x71838fa8	1	[Update]	0x7109c8d4
0x71838fc0	2	AddBaseUpdate	0x7109b16c,0x7141da90
0x71838ff8	1	][DLCUpdate	0x7109b900
0x71839008	2	ShowCombinedNSP	0x7109ee98,0x7141d140
0x71839038	1	/registered	0x7109fc58
0x71839048	1	registered	0x7109fc94
0x71839058	1	Can not open FS : {}	0x7109fd9c
0x71839070	1	Can not find file in rar	0x710a270c
0x71839090	1	Can not open rar	0x710a2a08
0x718390a8	1	Can not open 7zip	0x710a2ed8
0x718390c0	1	Can not find file in 7zip	0x710a2bf4
0x718390e0	1	Can not open zip	0x710a340c
0x718390f8	1	Can not find file in zip	0x710a33b8
0x71839118	3	.dbi_save_info.ini	0x71152c14,0x7115a30c,0x71165f60
0x71839130	2	.dbi_save_extra	0x7114d23c,0x71152c7c
0x71839598	2	xdigit	0x717b87bc,0x7180ed94
0x718395a0	1	Invalid '\xNN' control character in regular expression	0x710a1fec
0x718395d8	1	Invalid '\uNNNN' control character in regular expression	0x710a1ff0
0x71839618	1	invalid '\cX' control character in regular expression	0x710a200c
0x71839650	1	Invalid escape at end of regular expression	0x710a4c80
0x71839680	1	Invalid '(?...)' zero-width assertion in regular expression	0x710a4c90
0x718396c0	1	Incomplete '[[' character class in regular expression	0x710a5dd8
0x718396f8	2	^$\.*+?()[]{}|	0x7104d13c,0x710a5df8
0x71839708	2	.[\*^$	0x7104d0dc,0x710a5eac
0x71839710	2	.[\()*+?{|^$	0x7104d0fc,0x710a5eb4
0x71839720	1	.[\*^$	0x710a5fd0
0x71839728	1	.[\()*+?{|^$	0x710a5fdc
0x71839738	18	Number of NFA states exceeds limit. Please use shorter regex	0x7104d87c,0x710a635c,0x710a64c8,0x710a66d4,0x710a69e8
0x718397d0	1	invalid back reference	0x710a67a8
0x718397e8	1	Unexpected back-reference in polynomial mode.	0x710a69d8
0x71839818	1	Back-reference index exceeds current sub-expression count.	0x710a6a08
0x71839858	1	Back-reference referred to an opened sub-expression.	0x710a69f8
0x71839890	8	Invalid character class.	0x710a90d4,0x710a94e4,0x710a9b94,0x710aa2f4,0x710ae9f8
0x718398b0	4	Invalid collate element.	0x710aee90,0x710af78c,0x710b07ac,0x710b14f8
0x718398d0	4	Invalid equivalence class.	0x710aeea0,0x710af798,0x710b07e0,0x710b1508
0x718398f0	4	Invalid start of '[x-x]' range in regular expression	0x710aeed0,0x710af7a4,0x710b07ec,0x710b14a4
0x71839928	4	Invalid range in bracket expression.	0x710aeec0,0x710af764,0x710b0160,0x710b0fb0
0x71839950	4	Invalid end of '[x-x]' range in regular expression	0x710aeeb0,0x710af7b4,0x710b07b8,0x710b14c4
0x71839988	4	Invalid location of '-' within '[...]' in POSIX regular expr	0x710aeee0,0x710af728,0x710b07d0,0x710b14b4
0x718399d0	4	Unexpected character within '[...]' in regular expression	0x710aee80,0x710af774,0x710b0784,0x710b14e8
0x71839a10	1	conflicting grammar options	0x710b28ec
0x71839a40	1	Can not read ticket for {}	0x710bc30c
0x71839a78	1	Cleanup	0x710cecb8
0x71839a80	1	Application	0x710d64a0
0x71839a90	2	Update	0x710d5fb0,0x712fdc8c
0x71839aa8	1	AddOnUpdate	0x710d679c
0x71839ab8	1	Unknown type	0x710d5ff0
0x71839b28	1	12.1.0	0x710d6c8c
0x71839b30	1	13.0.0	0x710d6c78
0x71839b38	1	14.0.0	0x710d6c64
0x71839b40	1	15.0.0	0x710d6c50
0x71839b48	1	16.0.0	0x710d6c3c
0x71839b50	1	17.0.0	0x710d6c28
0x71839b58	1	18.0.0	0x710d6c14
0x71839b60	1	19.0.0	0x710d6c00
0x71839b68	1	20.0.0	0x710d6bec
0x71839b70	1	21.0.0	0x710d6bb8
0x71839b78	1	22.0.0	0x710d6db0
0x71839b80	10	Unknown	0x710d6b6c,0x7112ae34,0x7112af54,0x7113b798,0x7113bc6c
0x71839b88	1	RARCopyHelper::read should not be called	0x71000838
0x71839bb8	1	7ZIPCopyHelper::read should not be called	0x71000888
0x71839be8	1	ZIPCopyHelper::read should not be called	0x710008d8
0x71839c18	3	Operation not supported	0x710ddfe4,0x710de224,0x710de464
0x71839c38	1	Error reading input stream	0x710e4028
0x71839cc0	1	Exception while copy '	0x710ef0fc
0x71839ce0	1	Exception:	0x710edb9c
0x71839cf0	1	Invalid scheme for this helper	0x710f1bd8
0x71839d10	2	Can not find save	0x710f2100,0x710f2168
0x71839d28	1	Unsupported scheme	0x710f1c24
0x71839d40	1	github	0x710e4924
0x71839d48	2	Length must be multiple of sectors!	0x710f2dec,0x710f2eec
0x71839d70	1	Bad encryption	0x710f2e1c
0x71839d80	1	Bad decryption	0x710f2f1c
0x71839dc0	1	Failed to export exponentiated RSA message!	0x710f3290
0x71839df0	1	RZN8MsG1rduUwzQ	0x710f33ec
0x71839e00	1	1X+0uVXbzRf2rF	0x710f3548
0x71839e10	9	Invalid UTF-8	0x710f5970,0x710f85ac,0x710f85e0,0x710f8618,0x710f8634
0x71839e20	1	Invalid UTF-16	0x710f5980
0x71839e30	2	Not enough space	0x710f5990,0x7180805c
0x71839e58	2	%u;%u;%u%n	0x710f5b8c,0x7116e7e4
0x71839e68	12	basic_string::_M_create	0x710f5c28,0x710f9254,0x710f92c4,0x710fa93c,0x710fa9a4
0x71839f08	1	{:.{}f} {:s}	0x710f7b68
0x71839f18	3	[%dA%n	0x710f8368,0x710f87dc,0x711704fc
0x71839f20	3	[%dB%n	0x710f8570,0x710f89dc,0x711704a4
0x71839f28	3	[%dC%n	0x710f8548,0x710f89bc,0x7117044c
0x71839f30	3	[%dD%n	0x710f82e0,0x710f89fc,0x711703c0
0x71839f38	3	[%d;%d%c	0x710f83ac,0x710f8828,0x71170124
0x71839f48	3	[%d;%c	0x710f83e4,0x710f8864,0x711701a8
0x71839f50	3	[;%d%c	0x710f841c,0x710f889c,0x711701e4
0x71839f68	1	{:02d}:{:02d}:{:06.3f}	0x710f8b6c
0x71839f80	1	{:02d}:{:06.3f}	0x710f8bac
0x71839f90	3	Unsupported encoding	0x710f9284,0x710fa968,0x710fb138
0x71839fa8	23	basic_string_view::substr	0x710f9cac,0x710fa2d8,0x710fa2f4,0x7110b44c,0x7110b520
0x71839fc8	23	%s: __pos (which is %zu) > __size (which is %zu)	0x710f9cb4,0x710fa2e0,0x710fa2fc,0x7110b454,0x7110b528
0x7183a008	3	\[([0-9a-fA-F]{16})\]	0x710fcac4,0x711427e0,0x7158af40
0x7183a068	7	romfs.bin	0x7110c274,0x7110c444,0x7118200c,0x711822c4,0x711cf02c
0x7183a088	1	{:016x}	0x7110f82c
0x7183a090	1	/atmosphere/exefs_patches/	0x7110f860
0x7183a0c0	1	 Profile	0x711152b4
0x7183a0d0	1	 Level	0x71115328
0x7183a0d8	1	AAC (Object Type	0x71115948
0x7183a0f0	2	Unknown (	0x71115d20,0x711161b0
0x7183a100	4	Unexpected error	0x71119bc0,0x7111b66c,0x715ef984,0x716e5488
0x7183a120	2	control	0x7111d9b0,0x71121400
0x7183a130	2	legal_information	0x7111dc98,0x711216d0
0x7183a148	2	html_document	0x7111e21c,0x711217b0
0x7183a158	2	Program	0x71122600,0x71122c90
0x7183a168	2	vfsvfs	0x71122778,0x71122df4
0x7183a180	1	{"titles":[{"id":"	0x71126220
0x7183a198	1	","required_version":	0x71126290
0x7183a1b0	1	,"version":	0x711264d8
0x7183a1c0	1	}],"format_version":1,"last_modified":	0x71126720
0x7183a1e8	22	MemoryFile	0x711284d8,0x7112c974,0x711d639c,0x711d8080,0x711e3a80
0x7183a1f8	6	override_config	0x7112abe0,0x7112acc0,0x7112b63c,0x7112b6d0,0x7112b77c
0x7183a208	3	override_region	0x7112ac18,0x7112b65c,0x7112b6f0
0x7183a218	3	override_language	0x7112acf8,0x7112b79c,0x7112b830
0x7183a230	5	SDCard	0x7112baa4,0x7148632c,0x7159ea98,0x715aa09c,0x715dce94
0x7183a238	1	PRODINFO	0x7112bbdc
0x7183a2a0	2	es-419	0x7101bc68,0x7113c810
0x7183a2c8	2	zh-Hant	0x7101cb9c,0x7113c55c
0x7183a2d0	2	zh-Hans	0x7101cee8,0x7113c5a4
0x7183a390	1	UnknownUser	0x7113b160
0x7183a3a0	3	<Error>	0x7113b8a4,0x7113bb9c,0x7113bfe8
0x7183a3b0	5	Device	0x7113bc38,0x7113c0e4,0x71244914,0x71274ce0,0x713d24c8
0x7183a3c0	2	SD Cache	0x7113bf54,0x71163da0
0x7183a440	1	Not available	0x7113cf60
0x7183a458	2	\[v([0-9]+)\]	0x71142904,0x7158b1e8
0x7183a468	1	nintendosdk_(.*?)-(\d+)_(\d+)_(\d+)-release	0x71143078
0x7183a4b0	3	ScreenIdleTimeout	0x711454a8,0x71174dbc,0x714186e0
0x7183a648	1	Unreachable	0x7114649c
0x7183a658	27	vector::_M_range_check: __n (which is %zu) >= this->size() (	0x711465bc,0x711465e8,0x71146990,0x71146c98,0x71146cd4
0x7183a6a8	6	vector<bool>::_M_range_check: __n (which is %zu) >= this->si	0x711465d0,0x711465f4,0x711469a0,0x71146cc4,0x71146fdc
0x7183a6f8	2	Mask value out of range	0x71146c68,0x71149e70
0x7183a710	1	Version number out of range	0x71146d7c
0x7183a730	3	Invalid argument	0x71146f9c,0x71149514,0x71807ff0
0x7183a748	1	Degree out of range	0x711476d4
0x7183a760	2	Invalid value	0x7114789c,0x7114a804
0x7183a770	6	vector::_M_realloc_insert	0x71147da0,0x71147dc0,0x711c84b0,0x715060a4,0x71571770
0x7183a790	1	Value out of range	0x71148444
0x7183a7a8	1	Data too long	0x71148554
0x7183a7b8	1	String contains non-numeric characters	0x71148748
0x7183a7e0	1	String contains unencodable characters in alphanumeric mode	0x7114899c
0x7183a848	1	Version value out of range	0x71149ea0
0x7183a868	1	Segment too long	0x7114a584
0x7183a880	1	Data length =	0x7114a69c
0x7183a890	1	 bits,	0x7114a6b0
0x7183a898	1	Max capacity =	0x7114a714
0x7183a8b0	1	vector<bool>::_M_insert_range	0x7114a794
0x7183a900	1	vector<bool>::_M_insert_aux	0x71148358
0x7183a928	5	SavesFolder	0x7114d56c,0x71152578,0x71158a0c,0x71415d70,0x715b29ec
0x7183a938	4	sdmc:/switch/DBI/saves/	0x7114d58c,0x71152588,0x71158a28,0x71415d80
0x7183a970	2	TitleId	0x71152304,0x71160ce4
0x7183a978	2	TitleName	0x711523c0,0x714ba6c4
0x7183a988	3	BackupDate	0x71152430,0x71160cb4,0x711663e8
0x7183a9a0	1	Can not create output zip file:	0x71153568
0x7183a9c8	1	<file>	0x71153bf0
0x7183a9d8	1	Create dir:	0x71154918
0x7183a9e8	1	Committing FS	0x71154a30
0x7183a9f8	1	Create file:	0x71153e1c
0x7183aa10	1	Opening file:	0x71154118
0x7183aa20	1	Writing to file:	0x711542d4
0x7183aa38	1	Committing FS	0x711547b0
0x7183aa48	1	SaveBackup	0x7115ac48
0x7183aa58	1	Backup of {} saves. Only newer: {}	0x7115ac9c
0x7183aa88	1	Save {}: {}	0x7115aed4
0x7183aa98	1	Skipping save backup	0x7115b26c
0x7183aab0	1	Error:	0x7115b374
0x7183aab8	1	FoolproofSaveDelete	0x7115b5c4
0x7183aad0	1	Error backup restoring: {}	0x7115fda0
0x7183aaf8	1	TitleId:	0x71161974
0x7183ab08	1	Space  :	0x711619b4
0x7183ab18	1	Type   :	0x711619f4
0x7183ab28	1	User   :	0x71161a68
0x7183ab38	1	Uid    :	0x71161ac8
0x7183ab48	1	Index  :	0x71161c24
0x7183ab60	1	Restore failed	0x711667c8
0x7183ab70	2	Exception	0x711678f4,0x715f6820
0x7183ab80	1	Id       :	0x71168bd4
0x7183ab90	1	Space    :	0x71168c9c
0x7183aba0	1	Type     :	0x71168d68
0x7183abb0	1	Account  :	0x71168e28
0x7183abc0	1	Sys Id   :	0x71168f2c
0x7183abd0	1	App Id   :	0x7116902c
0x7183abe0	1	Size     :	0x71169178
0x7183abf0	1	Index    :	0x71169494
0x7183ac00	1	Rank     :	0x71169604
0x7183ac10	1	Owner    :	0x71169738
0x7183ac20	1	%Y.%m.%d %H:%M:%S	0x71169820
0x7183ac38	1	Timestamp:	0x71169840
0x7183ac48	1	Flags    :	0x71169950
0x7183ac58	1	D. Size  :	0x71169ac4
0x7183ac68	1	J. Size  :	0x71169d04
0x7183ac78	1	Commit Id:	0x71169ed8
0x7183ac88	1	SaveRestore	0x7116a860
0x7183ac98	2	SD Cache	0x7116a750,0x713d2440
0x7183aca8	1	Initialize timezone	0x7116ca48
0x7183acc0	1	timeGetDeviceLocationName failed:	0x7116caa4
0x7183ace8	1	Location name: '{:s}'	0x7116cb90
0x7183ad00	1	Additional info: tzName: '{:s}', offset: {}, DST: {}	0x7116cc04
0x7183ad38	2	%Y%m%d%H%M%S	0x7116cd58,0x712a3b3c
0x7183ad48	1	%Y-%m-%d %H:%M:%S	0x7116cdb0
0x7183ad60	1	Content meta data size is too small!	0x7116dcc4
0x7183ad98	3	RotateScreen	0x7116ed40,0x7116f030,0x71413eb8
0x7183ada8	1	gamecard.xci	0x71172dcc
0x7183adb8	5	.cnmt.nca	0x71172fe4,0x7117fd80,0x71559b90,0x7163aa04,0x71640538
0x7183add0	2	RotateJoycon	0x71174c0c,0x714142cc
0x7183ade0	2	Autorepeat	0x71174e70,0x71418eb0
0x7183adf0	1	 is missing	0x71175d98
0x7183ae00	1	eticket_rsa_kek	0x711761a0
0x7183ae10	1	eticket_rsa_kek_personalized	0x71179afc
0x7183ae30	1	maker_note_key	0x711775f0
0x7183ae40	1	application_id_key	0x71177694
0x7183ae58	1	key_area_key_application_{:02x}	0x711795b0
0x7183ae78	1	key_area_key_ocean_{:02x}	0x711795bc
0x7183ae98	1	key_area_key_system_{:02x}	0x711795c8
0x7183aeb8	1	titlekek_{:02x}	0x71179720
0x7183aec8	2	Failed to read section	0x7117b350,0x7117b474
0x7183aee0	1	Invalid NCA magic	0x7117c328
0x7183aef8	1	RawNcaSubsection@	0x7117c9b4
0x7183af18	2	There is no single cnmt file	0x7117da9c,0x7117de58
0x7183af38	1	PFS0 section not found	0x7117db4c
0x7183af50	3	/control.nacp	0x7117e048,0x7117e41c,0x7119ffb8
0x7183af60	3	Valid control.nacp not found	0x7117e1a0,0x7117e5f0,0x711a076c
0x7183af80	1	RomFS section not found	0x7117e310
0x7183af98	1	DecodedNcaSubsection@	0x7117d554
0x7183afc0	1	Access denied	0x7118094c
0x7183afd0	1	Error: Invalid PFS0 magic!	0x71180a70
0x7183aff0	11	Access point	0x71189ba4,0x71315490,0x71315658,0x7131577c,0x71315df0
0x7183b008	1	ticket.tik	0x71189f48
0x7183b018	1	WipeSignature	0x7118a7d4
0x7183b028	3	Root-CA00000003-XS00000020	0x7118a9e8,0x7118aaa4,0x7118ab0c
0x7183b048	11	DumpsFolder	0x7118ade0,0x713911c0,0x713b01c8,0x713c3fbc,0x71416918
0x7183b058	10	sdmc:/switch/DBI/dumps/	0x7118ae2c,0x713911dc,0x713b022c,0x713c3fd8,0x71416928
0x7183b070	1	Rsa4096Sha1	0x7118b47c
0x7183b080	1	Rsa2048Sha1	0x7118b54c
0x7183b090	1	EcdsaSha1	0x7118b518
0x7183b0a0	1	Rsa4096Sha256	0x7118b560
0x7183b0b0	1	Rsa2048Sha256	0x7118b4d4
0x7183b0c0	1	EcdsaSha256	0x7118b574
0x7183b0d0	1	Hmac160Sha1	0x7118b508
0x7183b0e0	6	Invalid	0x7118b584,0x7143bcc4,0x7143c1c8,0x71492d3c,0x71496de4
